variant,p,alpha,n_seeds,fa,fa_sd,aa,aa_sd,ffm,ffm_sd,old_mean,new_acc,first5_mean
only_B,1.00,0.30,3,83.56,0.11,87.53,0.23,3.82,0.31,83.41,84.91,83.02
only_B,1.00,0.50,3,83.07,0.19,87.42,0.19,4.63,0.40,82.90,84.62,82.29
only_B,1.00,0.70,3,82.31,0.10,87.10,0.17,5.24,0.29,82.10,84.22,81.45
only_B,1.00,0.90,3,81.21,0.23,86.60,0.20,6.07,0.12,80.96,83.52,80.48
only_B,1.00,1.00,3,80.82,0.06,86.28,0.19,6.47,0.29,80.50,83.67,80.06
separate,0.10,0.10,3,81.75,0.26,86.21,0.25,4.46,0.24,81.62,82.94,81.94
separate,0.10,0.30,3,82.57,0.14,86.75,0.23,3.97,0.27,82.47,83.44,82.70
separate,0.10,0.50,3,82.83,0.26,86.98,0.25,4.03,0.43,82.72,83.84,82.75
separate,0.10,0.70,3,82.98,0.22,87.06,0.29,4.09,0.51,82.87,84.02,82.92
separate,0.10,0.90,3,82.61,0.11,86.95,0.24,4.41,0.33,82.44,84.14,82.22
separate,0.10,1.00,3,82.30,0.03,86.83,0.30,4.65,0.21,82.12,83.91,81.90
separate,0.30,0.10,3,82.38,0.15,86.50,0.28,4.02,0.33,82.22,83.78,82.47
separate,0.30,0.30,3,83.34,0.13,87.13,0.22,3.59,0.25,83.19,84.68,83.28
separate,0.30,0.50,3,83.41,0.05,87.28,0.27,3.90,0.13,83.27,84.68,83.19
separate,0.30,0.70,3,82.84,0.09,87.17,0.26,4.46,0.22,82.70,84.07,82.45
separate,0.30,0.90,3,82.40,0.06,86.98,0.21,4.86,0.09,82.22,84.07,82.12
separate,0.30,1.00,3,82.00,0.08,86.82,0.22,5.14,0.08,81.82,83.53,81.51
separate,0.50,0.10,3,82.82,0.09,86.70,0.30,3.67,0.32,82.69,84.00,83.11
separate,0.50,0.30,3,83.51,0.12,87.40,0.23,3.78,0.36,83.37,84.82,83.13
separate,0.50,0.50,3,83.21,0.17,87.36,0.25,4.23,0.53,83.05,84.62,82.78
