variant,p,alpha,n_seeds,fa,fa_sd,aa,aa_sd,ffm,ffm_sd,old_mean,new_acc,first5_mean
only_B,0.70,0.50,3,82.42,0.30,87.05,0.48,8.51,0.39,81.77,88.19,77.96
only_B,0.70,0.70,3,81.28,0.36,86.63,0.50,10.11,0.64,80.46,88.67,75.87
only_B,0.70,0.90,3,79.99,0.15,86.22,0.41,12.03,0.38,78.92,89.57,73.66
only_B,0.70,1.00,3,78.93,0.76,85.80,0.52,13.23,0.77,77.71,89.86,72.05
only_B,0.90,0.10,3,83.05,0.32,86.40,0.60,5.00,0.36,82.83,85.08,81.59
only_B,0.90,0.30,3,83.37,0.16,87.19,0.42,6.80,0.35,82.91,87.49,79.66
only_B,0.90,0.50,3,82.48,0.29,87.14,0.42,8.62,0.31,81.79,88.72,77.73
only_B,0.90,0.70,3,81.08,0.35,86.63,0.45,10.61,0.31,80.19,89.08,75.57
only_B,0.90,0.90,3,79.60,0.41,86.07,0.45,12.59,0.60,78.47,89.82,72.95
only_B,0.90,1.00,3,78.98,0.77,85.68,0.48,13.42,0.68,77.72,90.34,71.97
only_B,1.00,0.10,3,83.12,0.36,86.44,0.60,4.94,0.44,82.88,85.32,81.59
only_B,1.00,0.30,3,83.48,0.15,87.26,0.38,6.82,0.40,83.00,87.81,79.76
only_B,1.00,0.50,3,82.33,0.25,87.08,0.43,8.75,0.40,81.65,88.47,77.52
only_B,1.00,0.70,3,80.75,0.22,86.58,0.41,10.92,0.53,79.86,88.83,74.76
only_B,1.00,0.90,3,79.43,0.30,86.00,0.40,12.84,0.32,78.22,90.26,72.40
only_B,1.00,1.00,3,78.69,1.02,85.68,0.54,13.87,1.17,77.38,90.43,71.43
separate,0.10,0.10,3,80.45,0.55,85.02,0.73,6.34,0.29,80.20,82.69,79.74
separate,0.10,0.30,3,82.36,0.35,86.06,0.64,5.64,0.44,82.04,85.23,80.84
separate,0.10,0.50,3,82.58,0.28,86.37,0.69,6.01,0.43,82.21,85.89,80.38
separate,0.10,0.70,3,82.67,0.14,86.48,0.58,6.48,0.44,82.18,86.99,79.72
separate,0.10,0.90,3,82.29,0.34,86.43,0.63,7.54,0.56,81.70,87.57,78.78
separate,0.10,1.00,3,81.95,0.38,86.40,0.65,8.09,0.46,81.30,87.81,78.12
separate,0.30,0.10,3,81.59,0.47,85.60,0.72,5.66,0.34,81.36,83.64,80.54
separate,0.30,0.30,3,83.38,0.11,86.69,0.54,5.66,0.53,82.97,87.07,81.01
separate,0.30,0.50,3,82.88,0.24,86.84,0.49,7.00,0.24,82.35,87.66,79.53
separate,0.30,0.70,3,82.32,0.19,86.85,0.48,8.25,0.55,81.70,87.94,78.10
separate,0.30,0.90,3,81.58,0.60,86.62,0.54,9.40,0.46,80.83,88.31,76.98
separate,0.30,1.00,3,80.91,0.38,86.40,0.45,10.32,0.36,80.06,88.59,75.88
separate,0.50,0.10,3,82.40,0.35,85.96,0.65,5.25,0.48,82.16,84.62,81.09
separate,0.50,0.30,3,83.33,0.11,86.98,0.52,6.23,0.37,82.90,87.12,80.30
separate,0.50,0.50,3,82.71,0.33,87.04,0.53,7.91,0.32,82.12,88.02,78.57
separate,0.50,0.70,3,81.89,0.32,86.84,0.48,9.19,0.42,81.17,88.39,77.12
separate,0.50,0.90,3,80.53,0.46,86.39,0.50,11.01,0.60,79.60,88.96,74.83
separate,0.50,1.00,3,80.07,0.21,86.17,0.50,11.64,0.28,79.05,89.24,74.11
separate,0.70,0.10,3,82.77,0.36,86.21,0.63,5.15,0.48,82.53,84.91,81.37
separate,0.70,0.30,3,83.24,0.13,87.06,0.48,6.67,0.34,82.77,87.45,79.84
separate,0.70,0.50,3,82.48,0.22,87.01,0.49,8.32,0.49,81.82,88.35,77.87
separate,0.70,0.70,3,81.40,0.40,86.69,0.41,9.97,0.24,80.60,88.59,76.30
separate,0.70,0.90,3,79.98,0.50,86.15,0.49,11.89,0.60,78.95,89.24,73.73
separate,0.70,1.00,3,79.56,0.38,85.97,0.41,12.48,0.67,78.45,89.57,73.19
separate,0.90,0.10,3,83.05,0.29,86.37,0.61,5.04,0.47,82.80,85.24,81.54
separate,0.90,0.30,3,83.56,0.14,87.25,0.45,6.63,0.37,83.09,87.74,80.02
separate,0.90,0.50,3,82.37,0.49,87.14,0.48,8.64,0.55,81.70,88.44,77.50
separate,0.90,0.70,3,81.12,0.61,86.64,0.45,10.40,0.45,80.26,88.79,75.62
separate,0.90,0.90,3,79.62,0.60,86.09,0.51,12.55,0.79,78.50,89.72,73.15
separate,0.90,1.00,3,79.02,0.61,85.71,0.54,13.23,0.82,77.79,90.10,72.17
separate,1.00,0.10,3,83.03,0.25,86.42,0.59,5.07,0.41,82.79,85.20,81.55
separate,1.00,0.30,3,83.54,0.13,87.30,0.42,6.76,0.49,83.11,87.41,79.85
separate,1.00,0.50,3,82.29,0.38,87.08,0.47,8.75,0.40,81.61,88.47,77.61
separate,1.00,0.70,3,80.83,0.10,86.53,0.40,10.92,0.42,79.90,89.20,74.93
separate,1.00,0.90,3,79.46,0.28,86.08,0.38,12.77,0.58,78.36,89.41,72.81
separate,1.00,1.00,3,78.73,0.70,85.74,0.50,13.86,0.84,77.42,90.47,71.71
